sensor_name,sensor_type,tracker,velocity_scale,mean_velocity_px_s,power_mW,required_fps,actual_fps,contrast_threshold,fps_fraction,price,mota,motp,idf1,id_switches,num_gt,num_pred
IMX327 (Sony),CIS,iou,50,1048.5,38.75,174.2,5.0,,0.08,~$15-25,0.04972340761814446,0.05881080584503492,0.07539808570635016,52.0,12654.0,683.2
IMX327 (Sony),CIS,iou,500,10484.5,38.75,1741.7,5.0,,0.08,~$15-25,0.04939149675991783,0.05848352323995772,0.074106299102122,53.2,12654.0,678.2
IMX327 (Sony),CIS,iou,200,4193.8,38.75,696.7,5.0,,0.08,~$15-25,0.04935988620199148,0.05823938568103241,0.07410963451934091,53.0,12654.0,677.6
IMX462 (Sony),CIS,sort,5,104.8,310.0,17.4,120.0,,1.0,~$20-30,0.9939149675991782,0.07965431245022461,0.9773004474240233,20.6,12654.0,12611.2
OV7251 (OmniVision),CIS,sort,200,4193.8,6.75,696.7,15.0,,0.12,~$3-5,0.17311522048364153,0.11392252022107704,0.2508017966793877,59.0,12654.0,2250.0
OV7251 (OmniVision),CIS,sort,500,10484.5,6.75,1741.7,15.0,,0.12,~$3-5,0.17311522048364153,0.11374672364432636,0.2527800719373192,60.0,12654.0,2250.6
IMX462 (Sony),CIS,sort,20,419.4,310.0,69.7,120.0,,1.0,~$20-30,0.7038090722301249,0.1450361685695974,0.6037269091584945,610.2,12654.0,11413.4
OV7251 (OmniVision),CIS,sort,100,2096.9,6.75,348.3,15.0,,0.12,~$3-5,0.17344713134186818,0.11903203821658144,0.24201068330839917,78.2,12654.0,2340.2
IMX327 (Sony),CIS,centroid,2,41.9,86.25,7.0,15.0,,0.25,~$15-25,0.4962067330488383,0.0966629887166082,0.6404009496175151,10.0,12654.0,6301.0
IMX327 (Sony),CIS,sort,500,10484.5,38.75,1741.7,5.0,,0.08,~$15-25,0.04921763869132292,0.053362634754166485,0.07402517137597522,53.8,12654.0,676.6
IMX327 (Sony),CIS,sort,100,2096.9,38.75,348.3,5.0,,0.08,~$15-25,0.049138612296507046,0.05260422102235579,0.07405851462865717,54.2,12654.0,676.0
IMX327 (Sony),CIS,sort,50,1048.5,38.75,174.2,5.0,,0.08,~$15-25,0.04943891259680733,0.05406124415536252,0.07502165350843122,53.2,12654.0,680.8
OV7251 (OmniVision),CIS,sort,50,1048.5,6.75,174.2,15.0,,0.12,~$3-5,0.17036510194404933,0.1350934027569519,0.2337284008662488,147.6,12654.0,2671.4
IMX327 (Sony),CIS,sort,200,4193.8,38.75,696.7,5.0,,0.08,~$15-25,0.04912280701754388,0.05323319527544088,0.07406073974172485,54.0,12654.0,675.6
IMX462 (Sony),CIS,sort,50,1048.5,310.0,174.2,120.0,,1.0,~$20-30,0.3960802908171329,0.12517283138101917,0.45026249335563084,605.0,12654.0,8695.8
IMX327 (Sony),CIS,centroid,1,21.0,86.25,3.5,15.0,,0.25,~$15-25,0.49747115536589226,0.07380002731260149,0.6558480611975732,6.0,12654.0,6301.0
IMX327 (Sony),CIS,centroid,10,209.7,86.25,34.8,15.0,,0.25,~$15-25,0.3261735419630156,0.16630440395816495,0.438261994761581,229.0,12654.0,6115.2
IMX327 (Sony),CIS,centroid,200,4193.8,86.25,696.7,15.0,,0.25,~$15-25,0.18727675043464515,0.05842361858137052,0.2756665456016241,54.6,12654.0,2428.0
OV7251 (OmniVision),CIS,sort,1,21.0,6.75,3.5,15.0,,0.12,~$3-5,0.4657657657657658,0.11833743806863188,0.6187761089664926,17.8,12654.0,5911.6
IMX327 (Sony),CIS,centroid,20,419.4,86.25,69.7,15.0,,0.25,~$15-25,0.1879247668721353,0.15247293292586073,0.3131151995084166,354.8,12654.0,5393.2
OV7251 (OmniVision),CIS,sort,5,104.8,6.75,17.4,15.0,,0.12,~$3-5,0.4186660344555081,0.16427669116779509,0.48646056462906806,131.4,12654.0,5636.8
IMX327 (Sony),CIS,sort,20,419.4,38.75,69.7,5.0,,0.08,~$15-25,0.052852852852852836,0.06388307827667009,0.08310216249706168,54.0,12654.0,760.8
IMX327 (Sony),CIS,centroid,100,2096.9,86.25,348.3,15.0,,0.25,~$15-25,0.18408408408408408,0.06363365805841173,0.26065379738378713,78.0,12654.0,2600.2
IMX327 (Sony),CIS,centroid,50,1048.5,86.25,174.2,15.0,,0.25,~$15-25,0.16642958748221906,0.08919063889270688,0.2594555898429125,189.4,12654.0,3356.2
OV7251 (OmniVision),CIS,sort,2,41.9,6.75,7.0,15.0,,0.12,~$3-5,0.4641062114746325,0.13085503889777977,0.6068210783986012,25.4,12654.0,5901.0
IMX327 (Sony),CIS,centroid,5,104.8,86.25,17.4,15.0,,0.25,~$15-25,0.45399083293820136,0.14457124012698727,0.5892843003372286,66.4,12654.0,6285.6
IMX327 (Sony),CIS,sort,10,209.7,38.75,34.8,5.0,,0.08,~$15-25,0.05909593804330646,0.0863254351006199,0.09710117038087815,75.8,12654.0,952.4
IMX327 (Sony),CIS,centroid,500,10484.5,86.25,1741.7,15.0,,0.25,~$15-25,0.1874348032242769,0.058484469794736746,0.2783628521968209,53.8,12654.0,2425.6
IMX327 (Sony),CIS,iou,1,21.0,86.25,3.5,15.0,,0.25,~$15-25,0.4977556503872293,0.07380002731260149,0.6597731469269322,2.4,12654.0,6301.0
IMX327 (Sony),CIS,sort,2,41.9,38.75,7.0,5.0,,0.08,~$15-25,0.1278805120910384,0.1337033746758513,0.19572693487357137,77.4,12654.0,1794.8
IMX327 (Sony),CIS,sort,1,21.0,38.75,3.5,5.0,,0.08,~$15-25,0.15672514619883043,0.10814924301701853,0.25684044938371187,16.2,12654.0,2010.2
IMX327 (Sony),CIS,sort,5,104.8,38.75,17.4,5.0,,0.08,~$15-25,0.0727200885095622,0.1194521874262553,0.1228986522998026,118.4,12654.0,1253.0
OV7251 (OmniVision),CIS,sort,20,419.4,6.75,69.7,15.0,,0.12,~$3-5,0.1984984984984985,0.17240331034903209,0.26371317405063827,337.4,12654.0,3951.2
OV7251 (OmniVision),CIS,sort,10,209.7,6.75,34.8,15.0,,0.12,~$3-5,0.3108108108108108,0.18335627552628436,0.3536779788826375,303.4,12654.0,4988.8
IMX327 (Sony),CIS,iou,2,41.9,86.25,7.0,15.0,,0.25,~$15-25,0.49576418523786947,0.09648947894886069,0.6352163468781905,9.2,12654.0,6292.6
IMX327 (Sony),CIS,iou,100,2096.9,86.25,348.3,15.0,,0.25,~$15-25,0.1876718824087245,0.06294063339478917,0.280374021336624,52.0,12654.0,2517.2
AR0234 (ON Semi),CIS,centroid,1,21.0,20.0,3.5,5.0,,0.04,~$20-40,0.12475106685633001,0.12609740081204318,0.14736226732734675,108.2,12654.0,1708.4
IMX327 (Sony),CIS,iou,50,1048.5,86.25,174.2,15.0,,0.25,~$15-25,0.1849375691480955,0.08228606811303792,0.27552892748288976,121.4,12654.0,2974.0
IMX327 (Sony),CIS,iou,200,4193.8,86.25,696.7,15.0,,0.25,~$15-25,0.1871503082029398,0.05843726767878212,0.27900977659599746,43.2,12654.0,2415.0
AR0234 (ON Semi),CIS,centroid,2,41.9,20.0,7.0,5.0,,0.04,~$20-40,0.11074758969495813,0.1611016543860123,0.13681554788495057,117.0,12654.0,1711.6
AR0234 (ON Semi),CIS,centroid,5,104.8,20.0,17.4,5.0,,0.04,~$20-40,0.06020230757072862,0.16923320096736155,0.0920883785370965,159.8,12654.0,1488.4
AR0234 (ON Semi),CIS,centroid,10,209.7,20.0,34.8,5.0,,0.04,~$20-40,0.04523470839260315,0.1272485641301923,0.0741143513133387,132.4,12654.0,1098.0
AR0234 (ON Semi),CIS,centroid,20,419.4,20.0,69.7,5.0,,0.04,~$20-40,0.044649913070965705,0.08918765939916562,0.06101625651271612,78.4,12654.0,738.2
AR0234 (ON Semi),CIS,centroid,50,1048.5,20.0,174.2,5.0,,0.04,~$20-40,0.04073020388809865,0.07588572145970654,0.05120292570028313,76.2,12654.0,594.0
IMX327 (Sony),CIS,iou,5,104.8,86.25,17.4,15.0,,0.25,~$15-25,0.4475580844001897,0.1419378892549742,0.5218053050590021,117.2,12654.0,6110.2
AR0234 (ON Semi),CIS,centroid,100,2096.9,20.0,348.3,5.0,,0.04,~$20-40,0.040777619724988126,0.07501674881376962,0.05039559645820314,75.8,12654.0,591.8
IMX327 (Sony),CIS,iou,20,419.4,86.25,69.7,15.0,,0.25,~$15-25,0.21220167535957007,0.14369481655444288,0.3061045557539901,347.0,12654.0,4663.4
IMX327 (Sony),CIS,iou,10,209.7,86.25,34.8,15.0,,0.25,~$15-25,0.3280701754385965,0.1599497874381031,0.38003636485664244,318.2,12654.0,5610.4
IMX327 (Sony),CIS,iou,500,10484.5,86.25,1741.7,15.0,,0.25,~$15-25,0.18730836099257153,0.05853419675373489,0.27706762374146565,43.6,12654.0,2413.8
AR0234 (ON Semi),CIS,centroid,200,4193.8,20.0,696.7,5.0,,0.04,~$20-40,0.04129919393077286,0.07596556416089642,0.05062040048594947,75.0,12654.0,597.6
AR0234 (ON Semi),CIS,centroid,500,10484.5,20.0,1741.7,5.0,,0.04,~$20-40,0.03963963963963966,0.0774819530324545,0.04608885717402224,79.8,12654.0,581.4
AR0234 (ON Semi),CIS,iou,2,41.9,20.0,7.0,5.0,,0.04,~$20-40,0.10412517780938832,0.15293753695569987,0.12107531169431814,137.0,12654.0,1557.0
AR0234 (ON Semi),CIS,iou,1,21.0,20.0,3.5,5.0,,0.04,~$20-40,0.11876086612928718,0.12153751721880372,0.13664068884636854,123.6,12654.0,1638.8
AR0234 (ON Semi),CIS,iou,50,1048.5,20.0,174.2,5.0,,0.04,~$20-40,0.0401928244033507,0.07578238753789075,0.05098304160871979,70.4,12654.0,580.6
AR0234 (ON Semi),CIS,iou,20,419.4,20.0,69.7,5.0,,0.04,~$20-40,0.0439702860755492,0.08545922023324806,0.05609696836162553,73.6,12654.0,664.8
AR0234 (ON Semi),CIS,iou,10,209.7,20.0,34.8,5.0,,0.04,~$20-40,0.04819029555871659,0.11314816926114249,0.06589881763607985,101.8,12654.0,856.8
AR0234 (ON Semi),CIS,iou,5,104.8,20.0,17.4,5.0,,0.04,~$20-40,0.06062905010273434,0.1507313924560129,0.0766714887947926,163.2,12654.0,1155.2
AR0234 (ON Semi),CIS,iou,100,2096.9,20.0,348.3,5.0,,0.04,~$20-40,0.039876718824087234,0.07466079467509787,0.04966834492053348,71.8,12654.0,576.4
AR0234 (ON Semi),CIS,iou,200,4193.8,20.0,696.7,5.0,,0.04,~$20-40,0.0405721510984669,0.07593196094760095,0.050553789397363616,70.0,12654.0,583.4
AR0234 (ON Semi),CIS,iou,500,10484.5,20.0,1741.7,5.0,,0.04,~$20-40,0.0386439070649597,0.07741952160375622,0.0456931844541978,75.6,12654.0,564.6
AR0234 (ON Semi),CIS,sort,50,1048.5,20.0,174.2,5.0,,0.04,~$20-40,0.03982930298719774,0.06965345346736594,0.049935746582409554,73.2,12654.0,578.0
IMX327 (Sony),CIS,sort,200,4193.8,86.25,696.7,15.0,,0.25,~$15-25,0.18727675043464515,0.04723200604435539,0.2797532726893007,42.8,12654.0,2415.0
AR0234 (ON Semi),CIS,sort,200,4193.8,20.0,696.7,5.0,,0.04,~$20-40,0.040414098308835134,0.0694637643263972,0.0503491832317741,70.2,12654.0,581.6
IMX327 (Sony),CIS,sort,500,10484.5,86.25,1741.7,15.0,,0.25,~$15-25,0.18733997155049784,0.046892296940469175,0.28074600119466386,42.4,12654.0,2413.0
AR0234 (ON Semi),CIS,sort,100,2096.9,20.0,348.3,5.0,,0.04,~$20-40,0.03971866603445549,0.0683454345212027,0.04952325000776722,72.2,12654.0,574.8
AR0234 (ON Semi),CIS,centroid,2,41.9,40.0,7.0,15.0,,0.12,~$20-40,0.46434329065908014,0.10821621717264192,0.5994425856832448,20.4,12654.0,5907.8
AR0234 (ON Semi),CIS,sort,500,10484.5,20.0,1741.7,5.0,,0.04,~$20-40,0.03831199620673307,0.07121187180301021,0.04491624740947957,77.0,12654.0,561.8
AR0234 (ON Semi),CIS,centroid,5,104.8,40.0,17.4,15.0,,0.12,~$20-40,0.4209894104630947,0.15339552461140946,0.556549297048077,74.0,12654.0,5878.8
AR0234 (ON Semi),CIS,sort,20,419.4,20.0,69.7,5.0,,0.04,~$20-40,0.043021969337758814,0.08107507949526535,0.054911546408660375,75.8,12654.0,646.2
AR0234 (ON Semi),CIS,centroid,500,10484.5,40.0,1741.7,15.0,,0.12,~$20-40,0.1745851114272167,0.07658357521685036,0.24777797749632788,66.4,12654.0,2275.6
